ticker,company,sentence,label,score
GOOGL,Alphabet,This acquisition represents an investment by Google Cloud to accelerate our capabilities in multicloud and artificial intelligence (AI)-driven security.,positive,0.8775452971458435
GOOGL,Alphabet,"These costs primarily include: • certain AI-focused shared research and development activities, including employee compensation expenses and technical infrastructure usage costs associated with the development of our general AI models; • corporate initiatives such as our philanthropic activities; and • corporate shared costs such as certain finance, human resource, and legal costs, including certain fines and settlements.",neutral,0.8676536083221436
GOOGL,Alphabet,"These services provide access to solutions such as AI offerings including our enterprise AI infrastructure, Vertex AI platform, and Gemini Enterprise; cybersecurity offerings; and data and analytics solutions.",neutral,0.8238185048103333
GOOGL,Alphabet,"The investments that we are making across our businesses — such as building AI-optimized infrastructure, including our custom TPUs, and integrating AI capabilities into new and existing products and services — reflect our ongoing efforts to innovate and provide products and services that are helpful to users, advertisers, publishers, customers, content providers, and distribution partners.",positive,0.6491122841835022
GOOGL,Alphabet,"49 To meet the AI compute capacity demands of our customers, we are engaging in the supply of our custom hardware which may increase our costs and operational complexity.",negative,0.699763834476471
AMZN,Amazon,"Further, we expect to continue making additional investments in our artificial intelligence initiatives.",positive,0.8103416562080383
AMZN,Amazon,"We expect spending in technology and infrastructure to increase over time as we continue to add infrastructure and employees, including to support our artificial intelligence and machine learning initiatives.",positive,0.9230289459228516
AMZN,Amazon,"In addition, new and enhanced technologies, including search, web and infrastructure computing services, practical applications of artificial intelligence and machine learning, digital content, satellites, and electronic devices continue to increase our competition.",positive,0.6536857485771179
AMZN,Amazon,"In addition, profitability or other intended benefits, if any, in our newer activities (including development and adoption of automation, artificial intelligence, and machine learning technologies for customer and internal use), may not meet our expectations, and we may not be successful enough in these newer activities to recoup our investments in them, which investments are often significant.",negative,0.7560006380081177
AMZN,Amazon,"Operating Risks Our Expansion Places a Significant Strain on our Management, Operational, Financial, and Other Resources We are continuing to rapidly and significantly expand our global operations, including increasing our product and service offerings, scaling our infrastructure to support our retail and services businesses (including our technology infrastructure), and adopting and utilizing artificial intelligence and machine learning technologies.",positive,0.8114060759544373
AMZN,Amazon,"For example, we rely on a limited group of suppliers for semiconductor products, including products related to artificial intelligence infrastructure such as graphics processing units.",neutral,0.9206994771957397
META,Meta,"This Venture provides strategic optionality and flexibility, which we expect will enable us to effectively meet future infrastructure capacity needs as AI markets and technologies develop.",positive,0.9144428968429565
META,Meta,"Across all of these efforts, we are making significant investments in artificial intelligence (AI), including generative AI, to improve our delivery, targeting, and measurement capabilities.",positive,0.8781197667121887
META,Meta,"We are investing in Reels and in AI initiatives across our products, including our AI-powered discovery engine to recommend relevant content, which we have already seen results in improved user engagement and monetization of our products.",positive,0.8981961607933044
META,Meta,"These efforts include significant investments in AI initiatives, including generative AI and superintelligence, to, among other things, recommend relevant content across our products, enhance our advertising tools, develop new products, and develop new features for existing products.",positive,0.7058133482933044
META,Meta,"In particular, we have significantly increased our infrastructure investments in connection with our AI initiatives, including third-party cloud capacity arrangements and investments in servers, data centers, and network infrastructure, and expect our investments to continue to increase.",positive,0.9481443762779236
META,Meta,"The increase was primarily due to increases in employee compensation, mainly driven by an increase in share-based compensation expense, as well as higher infrastructure costs for research and development, including our AI initiatives.",positive,0.9503533244132996
META,Meta,We anticipate making capital expenditures of approximately $125 billion to $145 billion in 2026 to support our AI efforts and core business.,positive,0.7567081451416016
META,Meta,"Material Cash Requirements We currently anticipate that our available funds and cash flow from operations and financing activities will be sufficient to meet our operational cash needs and fund our cash commitments for investing and financing activities, including investments in infrastructure and AI initiatives, as well as any return of capital to stockholders over the next 12 months and thereafter for the foreseeable future.",positive,0.8361221551895142
META,Meta,We have increased investments in infrastructure and AI initiatives and expect to continue to do so.,positive,0.9359461069107056
META,Meta,We are also making significant investments in artificial intelligence (AI) initiatives across our business.,positive,0.7373935580253601
META,Meta,"We have made significant investments in AI initiatives, including generative AI and superintelligence, to, among other things, recommend relevant content across our products, enhance our advertising tools, develop new products, and develop new features for existing products, and expect to continue to increase these investments.",positive,0.900511622428894
